Id,Name,Position,State,Img_url,Party
332,Elise Stefanik,Representative,New York,/img/member/s001196_200.jpg,Republican
333,Lee Zeldin,Representative,New York,/img/member/z000017_200.jpg,Republican
334,Chris Collins,Representative,New York,/img/member/c001092_200.jpg,Democrat
335,Grace Meng,Representative,New York,/img/member/m001188_200.jpg,Democrat
336,Hakeem Jeffries,Representative,New York,/img/member/j000294_200.jpg,Democrat
337,Sean Maloney,Representative,New York,/img/member/m001185_200.jpg,Democrat
338,Tom Reed,Representative,New York,/img/member/r000585_200.jpg,Republican
339,Paul Tonko,Representative,New York,/img/member/t000469_200.jpg,Democrat
340,Yvette Clarke,Representative,New York,/img/member/c001067_200.jpg,Democrat
341,Brian Higgins,Representative,New York,/img/member/h001038_200.jpg,Democrat
342,Kirsten Gillibrand,Senator,New York,/img/member/g000555_200.jpg,Democrat
343,Gregory Meeks,Representative,New York,/img/member/m001137_200.jpg,Democrat
344,Peter King,Representative,New York,/img/member/k000210_200.jpg,Republican
345,Carolyn Maloney,Representative,New York,/img/member/m000087_200.jpg,Democrat
346,Jerrold Nadler,Representative,New York,/img/member/n000002_200.jpg,Democrat
347,Nydia Velazquez,Representative,New York,/img/member/v000081_200.jpg,Democrat
348,Eliot Engel,Representative,New York,/img/member/e000179_200.jpg,Democrat
349,Nita Lowey,Representative,New York,/img/member/l000480_200.jpg,Democrat
350,Jose Serrano,Representative,New York,/img/member/s000248_200.jpg,Democrat
351,Charles Schumer,Senator,New York,/img/member/s000148_200.jpg,Democrat
352,Dan Bishop,Representative,North Carolina,/img/member/b001311_200.jpg,Republican
353,Gregory Murphy,Representative,North Carolina,/img/member/m001210_200.jpg,Republican
354,Ted Budd,Representative,North Carolina,/img/member/b001305_200.jpg,Republican
355,Thom Tillis,Senator,North Carolina,/img/member/t000476_200.jpg,Republican
356,David Rouzer,Representative,North Carolina,/img/member/r000603_200.jpg,Republican
357,Mark Walker,Representative,North Carolina,/img/member/115_rp_nc_6_walker_mark_200.jpg,Republican
358,George Holding,Representative,North Carolina,/img/member/h001065_200.jpg,Republican
359,Richard Hudson,Representative,North Carolina,/img/member/h001067_200.jpg,Republican
360,Mark Meadows,Representative,North Carolina,/img/member/m001187_200.jpg,Republican
361,Alma Adams,Representative,North Carolina,/img/member/a000370_200.jpg,Democrat
362,Virginia Foxx,Representative,North Carolina,/img/member/f000450_200.jpg,Republican
363,Patrick McHenry,Representative,North Carolina,/img/member/m001156_200.jpg,Republican
364,G. Butterfield,Representative,North Carolina,/img/member/b001251_200.jpg,Democrat
365,Richard Burr,Senator,North Carolina,/img/member/b001135_200.jpg,Republican
366,Walter Jones,Representative,North Carolina,/img/member/j000255_200.jpg,Republican
367,David Price,Representative,North Carolina,/img/member/p000523_200.jpg,Democrat
368,Kelly Armstrong,Representative,North Dakota,/img/member/a000377_200.jpg,Republican
369,Kevin Cramer,Senator,North Dakota,/img/member/c001096_200.jpg,Republican
370,John Hoeven,Senator,North Dakota,/img/member/h001061_200.jpg,Republican
371,Anthony Gonzalez,Representative,Ohio,/img/member/g000588_200.jpg,Republican
372,Troy Balderson,Representative,Ohio,,Republican
373,Warren Davidson,Representative,Ohio,/img/member/115_rp_oh_8_davidson_warren_200.jpg,Republican
374,Joyce Beatty,Representative,Ohio,/img/member/b001281_200.jpg,Democrat
375,David Joyce,Representative,Ohio,/img/member/j000295_200.jpg,Republican
376,Brad Wenstrup,Representative,Ohio,/img/member/w000815_200.jpg,Republican
377,Bob Gibbs,Representative,Ohio,/img/member/g000563_200.jpg,Republican
378,Bill Johnson,Representative,Ohio,/img/member/j000292_200.jpg,Republican
379,Steve Stivers,Representative,Ohio,/img/member/s001187_200.jpg,Republican
380,Jim Jordan,Representative,Ohio,/img/member/j000289_200.jpg,Republican
381,Marcia Fudge,Representative,Ohio,/img/member/f000455_200.jpg,Democrat
382,Robert Latta,Representative,Ohio,/img/member/l000566_200.jpg,Republican
383,Tim Ryan,Representative,Ohio,/img/member/r000577_200.jpg,Democrat
384,Michael Turner,Representative,Ohio,/img/member/t000463_200.jpg,Republican
385,Rob Portman,Senator,Ohio,/img/member/p000449_200.jpg,Republican
386,Steve Chabot,Representative,Ohio,/img/member/115_rp_oh_1_chabot_steve_200.jpg,Republican
387,Sherrod Brown,Senator,Ohio,/img/member/b000944_200.jpg,Democrat
388,Marcy Kaptur,Representative,Ohio,/img/member/k000009_200.jpg,Democrat
389,Kendra Horn,Representative,Oklahoma,/img/member/h001083_200.jpg,Democrat
390,Kevin Hern,Representative,Oklahoma,/img/member/h001082_200.jpg,Republican
391,Markwayne Mullin,Representative,Oklahoma,/img/member/m001190_200.jpg,Republican
392,James Lankford,Senator,Oklahoma,/img/member/l000575_200.jpg,Republican
393,Tom Cole,Representative,Oklahoma,/img/member/c001053_200.jpg,Republican
394,Frank Lucas,Representative,Oklahoma,/img/member/l000491_200.jpg,Republican
395,James Inhofe,Senator,Oklahoma,/img/member/i000024_200.jpg,Republican
396,Suzanne Bonamici,Representative,Oregon,/img/member/115_rp_or_1_bonamici_suzanne_200.jpg,Democrat
397,Jeff Merkley,Senator,Oregon,/img/member/m001176_200.jpg,Democrat
398,Kurt Schrader,Representative,Oregon,/img/member/s001180_200.jpg,Democrat
399,Greg Walden,Representative,Oregon,/img/member/w000791_200.jpg,Republican
400,Earl Blumenauer,Representative,Oregon,/img/member/b000574_200.jpg,Democrat
401,Peter DeFazio,Representative,Oregon,/img/member/d000191_200.jpg,Democrat
402,Ron Wyden,Senator,Oregon,/img/member/w000779_200.jpg,Democrat
403,Madeleine Dean,Representative,Pennsylvania,/img/member/d000631_200.jpg,Democrat
404,Chrissy Houlahan,Representative,Pennsylvania,/img/member/h001085_200.jpg,Democrat
405,John Joyce,Representative,Pennsylvania,/img/member/j000302_200.jpg,Republican
406,Fred Keller,Representative,Pennsylvania,/img/member/k000395_200.jpg,Republican
407,Daniel Meuser,Representative,Pennsylvania,/img/member/m001204_200.jpg,Republican
408,Guy Reschenthaler,Representative,Pennsylvania,/img/member/r000610_200.jpg,Republican
409,Conor Lamb,Representative,Pennsylvania,/img/member/115_rp_pa_18_lamb_conor_200.jpg,Democrat
410,Lloyd Smucker,Representative,Pennsylvania,/img/member/s001199_200.jpg,Republican
411,Susan Wild,Representative,Pennsylvania,/img/member/w000826_200.jpg,Democrat
412,Brian Fitzpatrick,Representative,Pennsylvania,/img/member/f000466_200.jpg,Republican
413,Mary Scanlon,Representative,Pennsylvania,/img/member/s001205_200.jpg,Democrat
414,Dwight Evans,Representative,Pennsylvania,/img/member/115_rp_pa_2_evans_dwight_200.jpg,Democrat
415,Brendan Boyle,Representative,Pennsylvania,/img/member/115_rp_pa_13_boyle_brendan_200.jpg,Democrat
416,Matt Cartwright,Representative,Pennsylvania,/img/member/115_rp_pa_17_cartwright_matt_200.jpg,Democrat
417,Scott Perry,Representative,Pennsylvania,/img/member/115_rp_pa_4_perry_scott_200.jpg,Republican
418,Mike Kelly,Representative,Pennsylvania,/img/member/k000376_200.jpg,Republican
419,Tom Marino,Representative,Pennsylvania,/img/member/m001179_200.jpg,Republican
420,Glenn Thompson,Representative,Pennsylvania,/img/member/115_rp_pa_5_thompson_glenn_200.jpg,Republican
421,Robert Casey,Senator,Pennsylvania,/img/member/c001070_200.jpg,Democrat
422,Pat Toomey,Senator,Pennsylvania,/img/member/t000461_200.jpg,Republican
423,Michael Doyle,Representative,Pennsylvania,/img/member/115_rp_pa_14_doyle_michael_200.jpg,Democrat
424,David Cicilline,Representative,Rhode Island,/img/member/115_rp_ri_1_cicilline_david_200.jpg,Democrat
425,Sheldon Whitehouse,Senator,Rhode Island,/img/member/w000802_200.jpg,Democrat
426,James Langevin,Representative,Rhode Island,/img/member/l000559_200.jpg,Democrat
427,Jack Reed,Senator,Rhode Island,/img/member/r000122_200.jpg,Democrat
428,Joe Cunningham,Representative,South Carolina,/img/member/c001122_200.jpg,Democrat
